typedag,dienstnummer et,type,duur,start,einde,loop,intern loopnummer,lijn,var,rit,voertuig,vertrek,vertrek plaatscode,aankomst,aankomst plaatscode,afstand,AT,VT,dienstnummer
"21/0","VHO+2112","AVO","00u05","06u53","06u58",,,,,,,,,,,,"04u13","01u58","2112"
"21/0","VHO+2112","LED","00u02","06u58","07u00","4502","4502U0658",,,,"standaard","Garage Van Hoorebeke","VHO276","Maldegem Markt","MDGmkt",1.885,"04u13","01u58","2112"
"21/0","VHO+2112","RIT","00u37","07u00","07u37","4502","4502U0658","871","01c","21","standaard","Maldegem Markt","MDGmkt","Aalter Station","AATstn",17.081,"04u13","01u58","2112"
"21/0","VHO+2112","STA","00u03","07u37","07u40",,,,,,,,,,,,"04u13","01u58","2112"
"21/0","VHO+2112","RIT","00u26","07u40","08u06","4502","4502U0658","87","M02","10","standaard","Aalter Station","AATstn","Maldegem Markt","MDGmkt",15.327,"04u13","01u58","2112"
"21/0","VHO+2112","STA","00u02","08u06","08u08",,,,,,,,,,,,"04u13","01u58","2112"
"21/0","VHO+2112","RIT","00u29","08u08","08u37","4502","4502U0658","87","01","21","standaard","Maldegem Markt","MDGmkt","Aalter Station","AATstn",14.552,"04u13","01u58","2112"
"21/0","VHO+2112","LED","00u20","08u37","08u57","4502","4502U0658",,,,"standaard","Aalter Station","AATstn","Garage Van Hoorebeke","VHO276",14.096,"04u13","01u58","2112"
"21/0","VHO+2112","ONE","03u29","08u57","12u26",,,,,,,,,,,,"04u13","01u58","2112"
"21/0","VHO+2112","ATU","00u15","12u26","12u41",,,,,,,,,,,,"04u13","01u58","2112"
"21/0","VHO+2112","LED","00u30","12u41","13u11","4508","4508U1241",,,,"standaard","Garage Van Hoorebeke","VHO276","Brugge Station","BGGstn",17,"04u13","01u58","2112"
"21/0","VHO+2112","RIT","00u53","13u11","14u04","4508","4508U1241","50","02","550","standaard","Brugge Station","BGGstn","Eeklo Station","EEKstn",28.902,"04u13","01u58","2112"
"21/0","VHO+2112","STA","00u02","14u04","14u06",,,,,,,,,,,,"04u13","01u58","2112"
"21/0","VHO+2112","RIT","00u40","14u06","14u46","4508","4508U1241","50","04b","552","standaard","Eeklo Station","EEKstn","Gent Sint-Pietersstation","GNTs2a",22.451,"04u13","01u58","2112"
"21/0","VHO+2112","LED","00u25","14u46","15u11","4508","4508U1241",,,,"standaard","Gent Sint-Pietersstation","GNTs2a","Aalter Station","AATstn",23.738,"04u13","01u58","2112"
"21/0","VHO+2112","STA","00u44","15u11","15u55",,,,,,,,,,,,"04u13","01u58","2112"
"21/0","VHO+2112","RIT","00u35","15u55","16u30","4508","4508U1241","881","01","21","standaard","Aalter Station","AATstn","Wingene Dorp","WINdor",18.212,"04u13","01u58","2112"
"21/0","VHO+2112","LED","00u20","16u30","16u50","4508","4508U1241",,,,"standaard","Wingene Dorp","WINdor","Tielt Station","TLTstn",9.119999999999999,"04u13","01u58","2112"
"21/0","VHO+2112","STA","00u05","16u50","16u55",,,,,,,,,,,,"04u13","01u58","2112"
"21/0","VHO+2112","RIT","00u33","16u55","17u28","4508","4508U1241","883","02a","752","standaard","Tielt Station","TLTstn","Lotenhulle Guldensporenplein","LOHgul",17.479,"04u13","01u58","2112"
"21/0","VHO+2112","LED","00u21","17u28","17u49","4508","4508U1241",,,,"standaard","Lotenhulle Guldensporenplein","LOHgul","Garage Van Hoorebeke","VHO276",19.337,"04u13","01u58","2112"
"21/0","VHO+2112","ANA","00u10","17u49","17u59",,,,,,,,,,,,"04u13","01u58","2112"
"21/0","VHO+2111","AVO","00u05","06u32","06u37",,,,,,,,,,,,"03u57","01u44","2111"
"21/0","VHO+2111","LED","00u02","06u37","06u39","4606","4606U0637",,,,"geleed","Garage Van Hoorebeke","VHO276","Maldegem Markt","MDGmkt",1.885,"03u57","01u44","2111"
"21/0","VHO+2111","RIT","01u18","06u39","07u57","4606","4606U0637","871","01","41","geleed","Maldegem Markt","MDGmkt","Deinze Station","DEIstn",35.519,"03u57","01u44","2111"
"21/0","VHO+2111","LED","00u42","07u57","08u39","4606","4606U0637",,,,"geleed","Deinze Station","DEIstn","Garage Van Hoorebeke","VHO276",29.849,"03u57","01u44","2111"
"21/0","VHO+2111","ONE","07u12","08u39","15u51",,,,,,,,,,,,"03u57","01u44","2111"
"21/0","VHO+2111","ATU","00u15","15u51","16u06",,,,,,,,,,,,"03u57","01u44","2111"
"21/0","VHO+2111","LED","00u02","16u06","16u08","4512","4512U1606",,,,"standaard","Garage Van Hoorebeke","VHO276","Maldegem Markt","MDGmkt",1.885,"03u57","01u44","2111"
"21/0","VHO+2111","RIT","01u18","16u08","17u26","4512","4512U1606","871","01","81","standaard","Maldegem Markt","MDGmkt","Deinze Station","DEIstn",35.519,"03u57","01u44","2111"
"21/0","VHO+2111","LED","00u28","17u26","17u54","4512","4512U1606",,,,"standaard","Deinze Station","DEIstn","Gent Sint Pietersstation","GNTs1a",15.377,"03u57","01u44","2111"
"21/0","VHO+2111","STA","01u27","17u54","19u21",,,,,,,,,,,,"03u57","01u44","2111"
"21/0","VHO+2111","RIT","00u35","19u21","19u56","4512","4512U1606","50","01a","981","standaard","Gent Sint Pietersstation","GNTs1a","Eeklo Station","EEKstn",22.447,"03u57","01u44","2111"
"21/0","VHO+2111","STA","00u02","19u56","19u58",,,,,,,,,,,,"03u57","01u44","2111"
"21/0","VHO+2111","RIT","00u46","19u58","20u44","4512","4512U1606","50","03","983","standaard","Eeklo Station","EEKstn","Brugge Station","BGGstn",28.597,"03u57","01u44","2111"
"21/0","VHO+2111","LED","00u30","20u44","21u14","4512","4512U1606",,,,"standaard","Brugge Station","BGGstn","Garage Van Hoorebeke","VHO276",17,"03u57","01u44","2111"
"21/0","VHO+2111","ANA","00u10","21u14","21u24",,,,,,,,,,,,"03u57","01u44","2111"
"21/0","VHO+2110","AVO","00u05","06u50","06u55",,,,,,,,,,,,"04u09","01u44","2110"
"21/0","VHO+2110","LED","00u03","06u55","06u58","4504","4504U0655",,,,"standaard","Garage Van Hoorebeke","VHO276","Maldegem Station","MDGstn",1.387,"04u09","01u44","2110"
"21/0","VHO+2110","RIT","00u33","06u58","07u31","4504","4504U0655","50","03a","141","standaard","Maldegem Station","MDGstn","Brugge Station","BGGstn",17.919,"04u09","01u44","2110"
"21/0","VHO+2110","LED","00u30","07u31","08u01","4504","4504U0655",,,,"standaard","Brugge Station","BGGstn","Garage Van Hoorebeke","VHO276",17,"04u09","01u44","2110"
"21/0","VHO+2110","ONE","05u59","08u25","14u24",,,,,,,,,,,,"04u09","01u44","2110"
"22/0","VHO+2114","AVO","00u05","07u17","07u22",,,,,,,,,,,,"02u15","01u33","2214"
"22/0","VHO+2114","LED","00u02","07u22","07u24","4506","4506U0722",,,,"standaard","Garage Van Hoorebeke","VHO276","Maldegem Markt","MDGmkt",1.885,"02u15","01u33","2214"
"22/0","VHO+2114","RIT","00u38","07u24","08u02","4506","4506U0722","871","01c","51","standaard","Maldegem Markt","MDGmkt","Aalter Station","AATstn",17.081,"02u15","01u33","2214"
"22/0","VHO+2114","LED","00u20","08u02","08u22","4506","4506U0722",,,,"standaard","Aalter Station","AATstn","Garage Van Hoorebeke","VHO276",14.096,"02u15","01u33","2214"
"22/0","VHO+2114","ONE","06u36","08u52","15u18",,,,,,,,,,,,"02u15","01u33","2214"
"22/0","VHO+2114","ATU","00u15","15u18","15u33",,,,,,,,,,,,"02u15","01u33","2214"
"21/0",,"AVO","00u05","07u17","07u22",,,,,,,,,,,,"01u56","01u06","7414"
"22/0","VHO+2114","LED","00u17","15u33","15u50","4511","4511U1533",,,,"standaard","Garage Van Hoorebeke","VHO276","Aalter Europalaan","AATeur",15.555,"02u15","01u33","2214"
"22/0","VHO+2114","RIT","00u19","15u50","16u09","4511","4511U1533","871","02b","20","standaard","Aalter Europalaan","AATeur","Knesselare Dorp","KNEdp1",8.497,"02u15","01u33","2214"
"22/0","VHO+2114","LED","00u12","16u09","16u21","4511","4511U1533",,,,"standaard","Knesselare Dorp","KNEdp1","Maldegem Markt","MDGmkt",9.727,"02u15","01u33","2214"
"22/0","VHO+2114","STA","00u09","16u21","16u30",,,,,,,,,,,,"02u15","01u33","2214"
"22/0","VHO+2114","RIT","01u18","16u30","17u48","4511","4511U1533","871","01","91","standaard","Maldegem Markt","MDGmkt","Deinze Station","DEIstn",35.519,"02u15","01u33","2214"
"22/0","VHO+2114","LED","00u42","17u48","18u30","4511","4511U1533",,,,"standaard","Deinze Station","DEIstn","Garage Van Hoorebeke","VHO276",29.849,"02u15","01u33","2214"
"22/0","VHO+2114","ANA","00u10","18u30","18u40",,,,,,,,,,,,"02u15","01u33","2214"
"23/0","VHO+2316","AVO","00u05","07u17","07u22",,,,,,,,,,,,"01u48","01u06","2316"
"23/0","VHO+2316","LED","00u02","07u22","07u24","4506","4506U0722",,,,"standaard","Garage Van Hoorebeke","VHO276","Maldegem Markt","MDGmkt",1.885,"01u48","01u06","2316"
"23/0","VHO+2316","RIT","00u38","07u24","08u02","4506","4506U0722","871","01c","51","standaard","Maldegem Markt","MDGmkt","Aalter Station","AATstn",17.081,"01u48","01u06","2316"
"23/0","VHO+2316","LED","00u20","08u02","08u22","4506","4506U0722",,,,"standaard","Aalter Station","AATstn","Garage Van Hoorebeke","VHO276",14.096,"01u48","01u06","2316"
"23/0","VHO+2316","ONE","03u07","08u52","11u59",,,,,,,,,,,,"01u48","01u06","2316"
"23/0","VHO+2316","ATU","00u15","11u59","12u14",,,,,,,,,,,,"01u48","01u06","2316"
"23/0","VHO+2316","LED","00u02","12u14","12u16","4512","4512U1214",,,,"standaard","Garage Van Hoorebeke","VHO276","Maldegem Markt","MDGmkt",1.885,"01u48","01u06","2316"
"23/0","VHO+2316","RIT","01u10","12u16","13u26","4512","4512U1214","871","01","61","standaard","Maldegem Markt","MDGmkt","Deinze Station","DEIstn",35.519,"01u48","01u06","2316"
"23/0","VHO+2316","LED","00u42","13u26","14u08","4512","4512U1214",,,,"standaard","Deinze Station","DEIstn","Garage Van Hoorebeke","VHO276",29.849,"01u48","01u06","2316"
"23/0","VHO+2316","ANA","00u10","14u08","14u18",,,,,,,,,,,,"01u48","01u06","2316"
"23/0","VHO+2315","AVO","00u05","11u55","12u00",,,,,,,,,,,,"05u03","02u05","2315"
"23/0","VHO+2315","LED","00u20","12u00","12u20","4510","4510U1200",,,,"standaard","Garage Van Hoorebeke","VHO276","Aalter Station","AATstn",14.782,"05u03","02u05","2315"
"23/0","VHO+2315","RIT","00u32","12u20","12u52","4510","4510U1200","881","01","11","standaard","Aalter Station","AATstn","Wingene Dorp","WINdor",18.212,"05u03","02u05","2315"
"23/0","VHO+2315","LED","00u36","12u52","13u28","4510","4510U1200",,,,"standaard","Wingene Dorp","WINdor","Garage Van Hoorebeke","VHO276",23.898,"05u03","02u05","2315"
"23/0","VHO+2315","ONE","04u28","13u28","17u56",,,,,,,,,,,,"05u03","02u05","2315"
"23/0","VHO+2315","ATU","00u15","17u56","18u11",,,,,,,,,,,,"05u03","02u05","2315"
"23/0","VHO+2315","LED","00u30","18u11","18u41","4517","4517U1811",,,,"standaard","Garage Van Hoorebeke","VHO276","Brugge Station","BGGstn",17,"05u03","02u05","2315"
"23/0","VHO+2315","RIT","00u51","18u41","19u32","4517","4517U1811","50","02","960","standaard","Brugge Station","BGGstn","Eeklo Station","EEKstn",28.902,"05u03","02u05","2315"
"23/0","VHO+2315","STA","00u02","19u32","19u34",,,,,,,,,,,,"05u03","02u05","2315"
"23/0","VHO+2315","RIT","00u36","19u34","20u10","4517","4517U1811","50","04b","962","standaard","Eeklo Station","EEKstn","Gent Sint-Pietersstation","GNTs2a",22.451,"05u03","02u05","2315"
"23/0","VHO+2315","STA","01u13","20u10","21u23",,,,,,,,,,,,"05u03","02u05","2315"
"23/0","VHO+2315","RIT","00u35","21u23","21u58","4517","4517U1811","50","01a","1041","standaard","Gent Sint Pietersstation","GNTs1a","Eeklo Station","EEKstn",22.447,"05u03","02u05","2315"
"23/0","VHO+2315","STA","00u02","21u58","22u00",,,,,,,,,,,,"05u03","02u05","2315"
"23/0","VHO+2315","RIT","00u46","22u00","22u46","4517","4517U1811","50","03","1043","standaard","Eeklo Station","EEKstn","Brugge Station","BGGstn",28.597,"05u03","02u05","2315"
"23/0","VHO+2315","STA","00u06","22u46","22u52",,,,,,,,,,,,"05u03","02u05","2315"
"23/0","VHO+2315","RIT","00u45","22u52","23u37","4517","4517U1811","50","02","1060","standaard","Brugge Station","BGGstn","Eeklo Station","EEKstn",28.902,"05u03","02u05","2315"
"23/0","VHO+2315","LED","00u37","23u37","24u14","4517","4517U1811",,,,"standaard","Eeklo Station","EEKstn","Gent Sint Pietersstation","GNTs1a",20.518,"05u03","02u05","2315"
"23/0","VHO+2315","STA","00u06","24u14","24u20",,,,,,,,,,,,"05u03","02u05","2315"
"23/0","VHO+2315","RIT","00u58","24u20","25u18","4517","4517U1811","50","07","1111","standaard","Gent Sint Pietersstation","GNTs1a","Maldegem Markt","MDGmkt",33.707,"05u03","02u05","2315"
"23/0","VHO+2315","LED","00u02","25u18","25u20","4517","4517U1811",,,,"standaard","Maldegem Markt","MDGmkt","Garage Van Hoorebeke","VHO276",0.414,"05u03","02u05","2315"
"23/0","VHO+2315","ANA","00u10","25u20","25u30",,,,,,,,,,,,"05u03","02u05","2315"
"23/0","VHO+2314","AVO","00u05","07u16","07u21",,,,,,,,,,,,"06u23","01u17","2314"
"23/0","VHO+2314","LED","00u05","07u21","07u26","4607","4607U0721",,,,"geleed","Garage Van Hoorebeke","VHO276","Maldegem Markt","MDGmk2",3.502,"06u23","01u17","2314"
"23/0","VHO+2314","RIT","00u34","07u26","08u00","4607","4607U0721","50","10","160","geleed","Maldegem Markt","MDGmk2","Eeklo Watertoren","EEKwat",15.37,"06u23","01u17","2314"
"23/0","VHO+2314","LED","00u15","08u00","08u15","4607","4607U0721",,,,"geleed","Eeklo Watertoren","EEKwat","Garage Van Hoorebeke","VHO276",9.647,"06u23","01u17","2314"
"23/0","VHO+2314","ONE","07u19","08u51","16u10",,,,,,,,,,,,"06u23","01u17","2314"
"23/0","VHO+2314","ATU","00u15","16u10","16u25",,,,,,,,,,,,"06u23","01u17","2314"
"23/0","VHO+2314","LED","00u30","16u25","16u55","4516","4516U1625",,,,"standaard","Garage Van Hoorebeke","VHO276","Brugge Station","BGGstn",17,"06u23","01u17","2314"
"23/0","VHO+2314","RIT","00u35","16u55","17u30","4516","4516U1625","50","02a","810","standaard","Brugge Station","BGGstn","Maldegem Station","MDGstn",17.863,"06u23","01u17","2314"
"23/0","VHO+2314","LED","00u25","17u30","17u55","4516","4516U1625",,,,"standaard","Maldegem Station","MDGstn","Brugge Station","BGGstn",18.245,"06u23","01u17","2314"
"23/0","VHO+2314","STA","00u13","17u55","18u08",,,,,,,,,,,,"06u23","01u17","2314"
"23/0","VHO+2314","RIT","00u58","18u08","19u06","4516","4516U1625","50","02","930","standaard","Brugge Station","BGGstn","Eeklo Station","EEKstn",28.902,"06u23","01u17","2314"
"23/0","VHO+2314","STA","00u02","19u06","19u08",,,,,,,,,,,,"06u23","01u17","2314"
"23/0","VHO+2314","RIT","00u37","19u08","19u45","4516","4516U1625","50","04b","932","standaard","Eeklo Station","EEKstn","Gent Sint-Pietersstation","GNTs2a",22.451,"06u23","01u17","2314"
"23/0","VHO+2314","STA","00u32","19u45","20u17",,,,,,,,,,,,"06u23","01u17","2314"
"23/0","VHO+2314","RIT","00u35","20u17","20u52","4516","4516U1625","50","01a","1021","standaard","Gent Sint Pietersstation","GNTs1a","Eeklo Station","EEKstn",22.447,"06u23","01u17","2314"
"23/0","VHO+2314","STA","00u02","20u52","20u54",,,,,,,,,,,,"06u23","01u17","2314"
"23/0","VHO+2314","RIT","00u46","20u54","21u40","4516","4516U1625","50","03","1023","standaard","Eeklo Station","EEKstn","Brugge Station","BGGstn",28.597,"06u23","01u17","2314"
"23/0","VHO+2314","STA","00u05","21u40","21u45",,,,,,,,,,,,"06u23","01u17","2314"
"23/0","VHO+2314","RIT","00u45","21u45","22u30","4516","4516U1625","50","02","1040","standaard","Brugge Station","BGGstn","Eeklo Station","EEKstn",28.902,"06u23","01u17","2314"
"23/0","VHO+2314","STA","00u02","22u30","22u32",,,,,,,,,,,,"06u23","01u17","2314"
"23/0","VHO+2314","RIT","00u35","22u32","23u07","4516","4516U1625","50","04b","1042","standaard","Eeklo Station","EEKstn","Gent Sint-Pietersstation","GNTs2a",22.451,"06u23","01u17","2314"
"23/0","VHO+2314","STA","00u22","23u07","23u29",,,,,,,,,,,,"06u23","01u17","2314"
"23/0","VHO+2314","RIT","00u58","23u29","24u27","4516","4516U1625","50","07","1081","standaard","Gent Sint Pietersstation","GNTs1a","Maldegem Markt","MDGmkt",33.707,"06u23","01u17","2314"
"23/0","VHO+2314","LED","00u02","24u27","24u29","4516","4516U1625",,,,"standaard","Maldegem Markt","MDGmkt","Garage Van Hoorebeke","VHO276",0.414,"06u23","01u17","2314"
"23/0","VHO+2314","ANA","00u10","24u29","24u39",,,,,,,,,,,,"06u23","01u17","2314"
"23/0","VHO+2313","AVO","00u05","07u03","07u08",,,,,,,,,,,,"05u49","02u08","2313"
"23/0","VHO+2313","LED","00u02","07u08","07u10","4505","4505U0708",,,,"standaard","Garage Van Hoorebeke","VHO276","Maldegem Markt","MDGmkt",1.885,"05u49","02u08","2313"
"23/0","VHO+2313","RIT","00u28","07u10","07u38","4505","4505U0708","87","01","11","standaard","Maldegem Markt","MDGmkt","Aalter Station","AATstn",14.552,"05u49","02u08","2313"
"23/0","VHO+2313","LED","00u09","07u38","07u47","4505","4505U0708",,,,"standaard","Aalter Station","AATstn","Lotenhulle Guldensporenplein","LOHgul",6.243,"05u49","02u08","2313"
"23/0","VHO+2313","STA","00u11","07u47","07u58",,,,,,,,,,,,"05u49","02u08","2313"
"23/0","VHO+2313","RIT","00u16","07u58","08u14","4505","4505U0708","871","02d","90","standaard","Lotenhulle Guldensporenplein","LOHgul","Aalter Station","AATstn",7.059,"05u49","02u08","2313"
"23/0","VHO+2313","LED","00u20","08u14","08u34","4505","4505U0708",,,,"standaard","Aalter Station","AATstn","Garage Van Hoorebeke","VHO276",14.096,"05u49","02u08","2313"
"23/0","VHO+2313","ONE","02u34","08u38","11u12",,,,,,,,,,,,"05u49","02u08","2313"
"23/0","VHO+2313","ATU","00u15","11u12","11u27",,,,,,,,,,,,"05u49","02u08","2313"
"23/0","VHO+2313","LED","00u42","11u27","12u09","4608","4608U1127",,,,"geleed","Garage Van Hoorebeke","VHO276","Deinze Station","DEIstn",30.176,"05u49","02u08","2313"
"23/0","VHO+2313","RIT","00u34","12u09","12u43","4608","4608U1127","871","02c","40","geleed","Deinze Station","DEIstn","Aalter Station","AATstn",17.869,"05u49","02u08","2313"
"23/0","VHO+2313","LED","00u30","12u43","13u13","4608","4608U1127",,,,"geleed","Aalter Station","AATstn","Brugge Station","BGGstn",27.465,"05u49","02u08","2313"
"23/0","VHO+2313","STA","00u27","13u13","13u40",,,,,,,,,,,,"05u49","02u08","2313"
"23/0","VHO+2313","RIT","00u53","13u40","14u33","4608","4608U1127","50","02","580","geleed","Brugge Station","BGGstn","Eeklo Station","EEKstn",28.902,"05u49","02u08","2313"
"23/0","VHO+2313","STA","00u02","14u33","14u35",,,,,,,,,,,,"05u49","02u08","2313"
"23/0","VHO+2313","RIT","00u40","14u35","15u15","4608","4608U1127","50","04b","582","geleed","Eeklo Station","EEKstn","Gent Sint-Pietersstation","GNTs2a",22.451,"05u49","02u08","2313"
"23/0","VHO+2313","LED","00u11","15u15","15u26","4608","4608U1127",,,,"geleed","Gent Sint-Pietersstation","GNTs2a","Zwijnaarde TP Civiele Techniek","ZWNtpc",4.772,"05u49","02u08","2313"
"23/0","VHO+2313","STA","00u28","15u26","15u54",,,,,,,,,,,,"05u49","02u08","2313"
"23/0","VHO+2313","RIT","00u59","15u54","16u53","4608","4608U1127","50","01","721","geleed","Zwijnaarde TP Civiele Techniek","ZWNtpc","Eeklo Station","EEKstn",26.742,"05u49","02u08","2313"
"23/0","VHO+2313","STA","00u02","16u53","16u55",,,,,,,,,,,,"05u49","02u08","2313"
"23/0","VHO+2313","RIT","01u00","16u55","17u55","4608","4608U1127","50","03","723","geleed","Eeklo Station","EEKstn","Brugge Station","BGGstn",28.597,"05u49","02u08","2313"
"23/0","VHO+2313","STA","00u07","17u55","18u02",,,,,,,,,,,,"05u49","02u08","2313"
"23/0","VHO+2313","RIT","00u59","18u02","19u01","4608","4608U1127","50","02","910","geleed","Brugge Station","BGGstn","Eeklo Station","EEKstn",28.902,"05u49","02u08","2313"
"23/0","VHO+2313","LED","00u14","19u01","19u15","4608","4608U1127",,,,"geleed","Eeklo Station","EEKstn","Garage Van Hoorebeke","VHO276",9.9,"05u49","02u08","2313"
"23/0","VHO+2313","ANA","00u10","19u15","19u25",,,,,,,,,,,,"05u49","02u08","2313"
"23/0","VHO+2312","AVO","00u05","06u53","06u58",,,,,,,,,,,,"05u14","00u54","2312"
"23/0","VHO+2312","LED","00u02","06u58","07u00","4504","4504U0658",,,,"standaard","Garage Van Hoorebeke","VHO276","Maldegem Markt","MDGmkt",1.885,"05u14","00u54","2312"
"23/0","VHO+2312","RIT","00u37","07u00","07u37","4504","4504U0658","871","01c","21","standaard","Maldegem Markt","MDGmkt","Aalter Station","AATstn",17.081,"05u14","00u54","2312"
"23/0","VHO+2312","STA","00u03","07u37","07u40",,,,,,,,,,,,"05u14","00u54","2312"
"23/0","VHO+2312","RIT","00u26","07u40","08u06","4504","4504U0658","87","02","10","standaard","Aalter Station","AATstn","Maldegem Markt","MDGmkt",14.844,"05u14","00u54","2312"
"23/0","VHO+2312","STA","00u02","08u06","08u08",,,,,,,,,,,,"05u14","00u54","2312"
"23/0","VHO+2312","RIT","00u29","08u08","08u37","4504","4504U0658","87","01","21","standaard","Maldegem Markt","MDGmkt","Aalter Station","AATstn",14.552,"05u14","00u54","2312"
"23/0","VHO+2312","LED","00u20","08u37","08u57","4504","4504U0658",,,,"standaard","Aalter Station","AATstn","Garage Van Hoorebeke","VHO276",14.096,"05u14","00u54","2312"
"23/0","VHO+2312","ONE","01u57","08u57","10u54",,,,,,,,,,,,"05u14","00u54","2312"
"23/0","VHO+2312","ATU","00u15","10u54","11u09",,,,,,,,,,,,"05u14","00u54","2312"
"23/0","VHO+2312","LED","00u30","11u09","11u39","4507","4507U1109",,,,"standaard","Garage Van Hoorebeke","VHO276","Brugge Station","BGGstn",17,"05u14","00u54","2312"
"23/0","VHO+2312","RIT","00u53","11u39","12u32","4507","4507U1109","50","02","410","standaard","Brugge Station","BGGstn","Eeklo Station","EEKstn",28.902,"05u14","00u54","2312"
"23/0","VHO+2312","STA","00u02","12u32","12u34",,,,,,,,,,,,"05u14","00u54","2312"
"23/0","VHO+2312","RIT","00u40","12u34","13u14","4507","4507U1109","50","04b","412","standaard","Eeklo Station","EEKstn","Gent Sint-Pietersstation","GNTs2a",22.451,"05u14","00u54","2312"
"23/0","VHO+2312","STA","00u34","13u14","13u48",,,,,,,,,,,,"05u14","00u54","2312"
"23/0","VHO+2312","RIT","00u40","13u48","14u28","4507","4507U1109","50","01a","591","standaard","Gent Sint Pietersstation","GNTs1a","Eeklo Station","EEKstn",22.447,"05u14","00u54","2312"
"23/0","VHO+2312","STA","00u02","14u28","14u30",,,,,,,,,,,,"05u14","00u54","2312"
"23/0","VHO+2312","RIT","00u54","14u30","15u24","4507","4507U1109","50","03","593","standaard","Eeklo Station","EEKstn","Brugge Station","BGGstn",28.597,"05u14","00u54","2312"
"23/0","VHO+2312","STA","00u57","15u24","16u21",,,,,,,,,,,,"05u14","00u54","2312"
"23/0","VHO+2312","RIT","00u35","16u21","16u56","4507","4507U1109","50","02a","750","standaard","Brugge Station","BGGstn","Maldegem Station","MDGstn",17.863,"05u14","00u54","2312"
"23/0","VHO+2312","LED","00u02","16u56","16u58","4507","4507U1109",,,,"standaard","Maldegem Station","MDGstn","Garage Van Hoorebeke","VHO276",0.6860000000000001,"05u14","00u54","2312"
"23/0","VHO+2312","ANA","00u10","16u58","17u08",,,,,,,,,,,,"05u14","00u54","2312"
"23/0","VHO+2311","AVO","00u05","06u50","06u55",,,,,,,,,,,,"05u43","01u55","2311"
"23/0","VHO+2311","LED","00u03","06u55","06u58","4503","4503U0655",,,,"standaard","Garage Van Hoorebeke","VHO276","Maldegem Station","MDGstn",1.387,"05u43","01u55","2311"
"23/0","VHO+2311","RIT","00u33","06u58","07u31","4503","4503U0655","50","03a","141","standaard","Maldegem Station","MDGstn","Brugge Station","BGGstn",17.919,"05u43","01u55","2311"
"23/0","VHO+2311","LED","00u30","07u31","08u01","4503","4503U0655",,,,"standaard","Brugge Station","BGGstn","Garage Van Hoorebeke","VHO276",17,"05u43","01u55","2311"
"23/0","VHO+2311","ONE","03u27","08u25","11u52",,,,,,,,,,,,"05u43","01u55","2311"
"23/0","VHO+2311","ATU","00u15","11u52","12u07",,,,,,,,,,,,"05u43","01u55","2311"
"23/0","VHO+2311","LED","00u41","12u07","12u48","4613","4613U1207",,,,"geleed","Garage Van Hoorebeke","VHO276","Gent Sint Pietersstation","GNTs1a",30.075,"05u43","01u55","2311"
"23/0","VHO+2311","RIT","00u40","12u48","13u28","4613","4613U1207","50","01a","521","geleed","Gent Sint Pietersstation","GNTs1a","Eeklo Station","EEKstn",22.447,"05u43","01u55","2311"
"23/0","VHO+2311","STA","00u02","13u28","13u30",,,,,,,,,,,,"05u43","01u55","2311"
"23/0","VHO+2311","RIT","00u54","13u30","14u24","4613","4613U1207","50","03","523","geleed","Eeklo Station","EEKstn","Brugge Station","BGGstn",28.597,"05u43","01u55","2311"
"23/0","VHO+2311","STA","00u45","14u24","15u09",,,,,,,,,,,,"05u43","01u55","2311"
"23/0","VHO+2311","RIT","00u58","15u09","16u07","4613","4613U1207","50","02","670","geleed","Brugge Station","BGGstn","Eeklo Station","EEKstn",28.902,"05u43","01u55","2311"
"23/0","VHO+2311","STA","00u02","16u07","16u09",,,,,,,,,,,,"05u43","01u55","2311"
"23/0","VHO+2311","RIT","00u45","16u09","16u54","4613","4613U1207","50","04b","672","geleed","Eeklo Station","EEKstn","Gent Sint-Pietersstation","GNTs2a",22.451,"05u43","01u55","2311"
"23/0","VHO+2311","LED","00u11","16u54","17u05","4613","4613U1207",,,,"geleed","Gent Sint-Pietersstation","GNTs2a","Zwijnaarde TP Civiele Techniek","ZWNtpc",4.772,"05u43","01u55","2311"
"23/0","VHO+2311","STA","00u23","17u05","17u28",,,,,,,,,,,,"05u43","01u55","2311"
"23/0","VHO+2311","RIT","01u00","17u28","18u28","4613","4613U1207","50","01","861","geleed","Zwijnaarde TP Civiele Techniek","ZWNtpc","Eeklo Station","EEKstn",26.742,"05u43","01u55","2311"
"23/0","VHO+2311","STA","00u02","18u28","18u30",,,,,,,,,,,,"05u43","01u55","2311"
"23/0","VHO+2311","RIT","00u53","18u30","19u23","4613","4613U1207","50","03","863","geleed","Eeklo Station","EEKstn","Brugge Station","BGGstn",28.597,"05u43","01u55","2311"
"23/0","VHO+2311","LED","00u30","19u23","19u53","4613","4613U1207",,,,"geleed","Brugge Station","BGGstn","Garage Van Hoorebeke","VHO276",17,"05u43","01u55","2311"
"23/0","VHO+2311","ANA","00u10","19u53","20u03",,,,,,,,,,,,"05u43","01u55","2311"
"23/0","VHO+2310","AVO","00u05","06u48","06u53",,,,,,,,,,,,"04u35","02u32","2310"
"23/0","VHO+2310","LED","00u36","06u53","07u29","4502","4502U0653",,,,"standaard","Garage Van Hoorebeke","VHO276","Wingene Dorp","WINdor",23.901,"04u35","02u32","2310"
